ID,comp1,GroupContrib,mz,RT,Corr_ID,SpectrumID,Compound_Name,Adduct,adduct,NPC#pathway,NPC#superclass,NPC#class,EffectSize,LowerLimitCI,UpperLimitCI
12655,1.1645266306171695,3XTG,359.25774736839224,3.8925264,81,CCMSLIB00005465197,"""(3r)-3-((3r,5s,7r,9s,10s,12s,13r,14s,17r)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1h-cyclopenta[a]phenanthren-17-yl)butanoic acid""",M-2H2O+H,[M - H4O2 + H]+,Terpenoids,Steroids,Cholane steroids,0.28298887122416533,0.01914962319840974,0.5099812025435094
1094,1.1599574622170101,3XTG,138.09117640300562,0.35881263,NA,CCMSLIB00000578053,tyramine,M+H,[M + H]+,Alkaloids,Tyrosine alkaloids,Phenylethylamines,0.19236883942766306,-0.03244832509566767,0.3986572845578407
16282,1.157841089658019,3XTG,371.2577525520106,5.3174863,NA,CCMSLIB00005465748,"""(r)-4-((8s,9s,10r,13r,14s,17r)-10,13-dimethyl-3-oxo-2,3,8,9,10,11,12,13,14,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",M+H,[M + Na]+,Terpenoids,Steroids,Cholane steroids,0.2655007949125595,-0.006894823460208327,0.5012163241957359
15433,1.1418720152093014,B6,452.27681660041833,5.025533,NA,CCMSLIB00010086490,pe(16:1/0:0); [m+h]+ c21h43n1o7p1,M+H,[M + H]+,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,-0.2988871224165342,-0.5213660587750512,-0.038361463968831076
9046,1.1380395165494077,3XTG,459.1272944181146,2.8913062,NA,CCMSLIB00003138492,6''-o-acetyldaidzin,M+H,[M + H]+,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,0.1828298887122416,-0.028065365882401987,0.3781425534496243
3179,1.133458596315393,3XTG,229.15427902129596,1.0535461,NA,CCMSLIB00003138780,ile-pro,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.22734499205087444,-0.046466743834289295,0.46938102325964587
15694,1.1322880848021983,B6,476.2796690284293,5.1072326,NA,CCMSLIB00003139209,1-hexadecanoyl-sn-glycero-3-phosphoethanolamine,M+Na,[M + Na]+,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines,-0.2305246422893481,-0.4587914420104744,0.02628641783897785
8342,1.13128274577182,3XTG,291.09704524456794,2.736613,NA,CCMSLIB00005741979,massbank:pr311144 malonyltryptophan,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.25914149443561185,-0.0012195816080115167,0.4865996321081042
5807,1.127933182081169,3XTG,407.2380217932077,2.123914,NA,CCMSLIB00005720268,fruleuile,M+H,[M + H3N + H]+,Polyketides,Peptide alkaloids,Simple amide alkaloids,0.2527821939586645,-0.022401495007610614,0.4923599141848655
1088,1.1263497989450149,3XTG,121.06491100500902,0.3539173,NA,CCMSLIB00003135883,1-amino-2-ethoxybenzene,M+H-NH3,[M + H]+,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,0.26788553259141473,0.04687402096149981,0.4638931289798814
5124,1.118794112966845,3XTG,275.13842050727783,2.0064526,NA,CCMSLIB00012471777,c4:0 n-acyl tryptophan,[M+H]+,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.18282988871224162,-0.04980536440618789,0.3966476501428287
8634,1.117939476549288,B6,370.17520639562633,2.7943487,NA,CCMSLIB00003137617,phe-gly-phe,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,-0.22655007949125588,-0.40210678024637514,-0.03492603263960422
7530,1.1163806934566172,B6,220.09982587151063,2.5850968,NA,CCMSLIB00012471766,c4:0 n-acyl methionine,[M+H]+,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,-0.08108108108108138,-0.2831324683459147,0.12786163772415907
14834,1.1157618856095288,3XTG,297.2419840428578,4.763503,NA,CCMSLIB00003134797,12(13)-epoxy-9z-octadecenoic acid,M+H,[M - H2O + H]+,Fatty acids,Octadecanoids,Other Octadecanoids,0.23211446740858493,-0.04345681282241811,0.47486298021937323
18306,1.1103425443757087,3XTG,305.24711314248106,6.071281,NA,CCMSLIB00003135917,stearidonic acid ethyl ester,M+H,[M + H]+,Fatty acids,Fatty esters,Unsaturated fatty acids,0.27583465818759917,0.008805930363293654,0.5061424811314286
2224,1.1039315305070792,3XTG,229.15427787222876,0.6732504,NA,CCMSLIB00003138780,ile-pro,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.30047694753577103,0.0332116810894441,0.5276362065161385
9357,1.0968645954869998,3XTG,190.04971064244825,2.943386,NA,CCMSLIB00005883185,4-hydroxy-2-quinolinecarboxylic acid,M+H,[M + H]+,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids,0.21621621621621617,-0.006715725901503881,0.4186734898451079
17866,1.085832638322789,B6,366.2997209459402,5.9181237,NA,CCMSLIB00012717563,candidate gaba-c18:2 (delta mass:262.2306),M+H,[M + H]+,Fatty acids,Fatty amides,N-acyl amines,-0.24244833068362498,-0.4505871197908597,-0.009310434662105273
844,1.084514286218727,B6,204.12294906377608,0.27863985,NA,CCMSLIB00003135237,acetyl-dcarnitine,M+H,[M + H]+,Amino acids and Peptides,Fatty esters,Dipeptides,-0.28934817170111293,-0.5130469599213976,-0.028844925841129646
14217,1.083844234874347,3XTG,297.2420117693738,4.5389752,5,CCMSLIB00003137581,9(10)-epome,M+H,[M - H2O + H]+,Fatty acids,Octadecanoids,Other Octadecanoids,0.26391096979332274,9.44397056742351e-5,0.49338195617769015
11593,1.0699569470291488,3XTG,229.14318020628497,3.5815902,228,CCMSLIB00006118297,traumatic acid,M+H,[M + H]+,Polyketides,Linear polyketides,Dicarboxylic acids,0.2798092209856917,0.006871467550851835,0.5139467781885892
3601,1.0630940491277572,B6,237.1236408797763,1.3073617,NA,CCMSLIB00005738093,massbank:rp016502 ala-phe|(2s)-2-[[(2s)-2-azaniumylpropanoyl]amino]-3-phenylpropanoate,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,-0.15421303656597762,-0.29383524238788056,-0.008147562845295091
2547,1.0613337005108225,B6,187.14386810731023,0.8258065,NA,CCMSLIB00012715917,candidate n-acetylcadaverine-c2:0 (delta mass:42.0104),M+H,[M + H]+,Alkaloids,Ornithine alkaloids,Polyamines,-0.22893481717011133,-0.47482190259466645,0.05010538801373316
8489,1.0602681536265117,B6,595.1650219684257,2.7608304,NA,CCMSLIB00003136283,kaempferol 3-o-rutinoside,M+H,[M + H]+,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,-0.1621621621621621,-0.3021415639944358,-0.015337070222306159
16887,1.059533327496633,B6,307.26269586240056,5.519234,66,CCMSLIB00003134895,linolenic acid ethyl ester,M+H,[M - H4O2 + H]+,Fatty acids,Glycerolipids,Monoacylglycerols,-0.18203497615262323,-0.40691536805933304,0.06364952498870512
12495,1.0573263691429131,B6,409.2932587186594,3.8470955,195,CCMSLIB00005465543,"""(r)-4-((3r,5r,6r,7s,8s,9s,10r,13r,14s,17r)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1h-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",M+H,[M + H]+,Terpenoids,Steroids,Cholane steroids,-0.15421303656597782,-0.39997372784135576,0.11223625516493294
17875,1.053160785621109,B6,444.3112844320654,5.930163,NA,CCMSLIB00012718319,candidate tyrosine-c18:2 (delta mass:262.2301),M+H,[M + H]+,Alkaloids,Pseudoalkaloids,Purine alkaloids,-0.2845786963434022,-0.48922262164268765,-0.05023430854323646
16106,1.044251126514469,B6,275.20050109988716,5.2505503,NA,CCMSLIB00003136504,9-oxootre,M+H-H2O,[M - H2O + H]+,Fatty acids,Octadecanoids,Other Octadecanoids,-0.20190779014308421,-0.4149137446826343,0.03208001642744957
16643,1.0392628702710287,3XTG,548.371802268565,5.4334335,NA,CCMSLIB00010096583,pc(20:2/0:0); [m+h]+ c28h55n1o7p1,M+H,[M + H]+,Fatty acids,Glycerophospholipids,Glycerophosphocholines,0.2305246422893483,-0.006710609982882605,0.4431932961177237
