ID1,ID2,EdgeType,Score,Annotation
16368,16370,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9528
16370,16373,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0293
16400,16406,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9820
16400,16407,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
16406,16407,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0267
16406,16431,MS1 annotation,5.000,[2M+Na]+ [M+H]+ dm/z=352.0734
16407,16410,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9293
16407,16431,MS1 annotation,5.000,[2M+Na]+ [M+NH4]+ dm/z=335.0468
16414,17000,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
16929,16938,MS1 annotation,7.000,[M+NH4]+ [M+H]+ dm/z=17.0264
16938,17474,MS1 annotation,7.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
17115,17123,MS1 annotation,3.000,[2M+NH4]+ [M+H]+ dm/z=330.1587
17115,17117,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
17148,17167,MS1 annotation,7.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
17270,17291,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=408.1658
17270,17279,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9558
17270,17279,MS1 annotation,6.000,[M+K]+ [2M+2H]+2 dm/z=37.9558
17588,18215,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
18043,18049,MS1 annotation,8.000,[2M+H]+ [M+Na]+ dm/z=370.3106
18043,18292,MS1 annotation,8.000,[M+NH4]+ [M+Na]+ dm/z=4.9546
18051,18292,MS1 annotation,8.500,[M+NH4]+ [2M+Na]+ dm/z=397.2471
18516,18539,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
18516,18539,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
18529,18553,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9546
18612,19232,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0266
18612,19231,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
18661,18673,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0264
19061,19064,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9562
19064,19084,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9831
19227,19229,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
19231,19232,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9820
19748,19761,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
19748,19761,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
22527,22528,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
26232,26620,MS1 annotation,3.000,[M+H+Na]+2 [2M+Fe]+2 dm/z=113.9910
