ID1,ID2,EdgeType,Score,Annotation
3114,3118,MS1 annotation,6.000,[M+K]+ [2M+2H]+2 dm/z=37.9560
3114,3116,MS1 annotation,6.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
3114,3117,MS1 annotation,6.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
3116,3118,MS1 annotation,6.000,[M+K]+ [M+NH4]+ dm/z=20.9294
3116,3117,MS1 annotation,6.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3117,3118,MS1 annotation,6.000,[M+K]+ [M+Na]+ dm/z=15.9741
3120,3121,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3216,3218,MS1 annotation,3.000,[M+Na]+ [M+2H]+2 dm/z=335.1129
3216,3217,MS1 annotation,3.000,[M+NH4]+ [M+2H]+2 dm/z=330.1575
3217,3218,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3237,3239,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3247,3248,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9293
3247,3250,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9737
3247,3249,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9560
3249,3250,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9823
3249,3250,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
3285,3291,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
3285,3289,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
3289,3291,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
3308,3478,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9558
3308,3309,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3308,3311,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
3309,3478,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9292
