ID1,ID2,EdgeType,Score,Annotation
17593,17647,MS1 annotation,8.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9953
17593,17912,MS1 annotation,8.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9953
17679,18311,MS1 annotation,7.000,[M+Fe]+2 [M+H+K]+2 dm/z=7.9812
17679,17832,MS1 annotation,7.000,[M+Fe]+2 [M+H+K]+2 dm/z=7.9812
17832,18390,MS1 annotation,7.000,[M+H+K]+2 [M+Fe]+2 dm/z=7.9812
17832,18019,MS1 annotation,7.000,[M+H+K]+2 [M+Fe]+2 dm/z=7.9812
17861,17912,MS1 annotation,8.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9953
17912,18092,MS1 annotation,8.000,[2M+Mg]+2 [M+Na]+ dm/z=0.9953
18019,18311,MS1 annotation,7.000,[M+Fe]+2 [M+H+K]+2 dm/z=7.9812
18092,18108,MS1 annotation,8.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9953
18108,18265,MS1 annotation,8.000,[2M+Mg]+2 [M+Na]+ dm/z=0.9953
18224,18288,MS1 annotation,3.000,[2M+Fe]+2 [M-H+Mg]+ dm/z=18.9945
18224,18514,MS1 annotation,3.000,[M+Na]+ [2M+Fe]+2 dm/z=4.9789
18311,18390,MS1 annotation,7.000,[M+H+K]+2 [M+Fe]+2 dm/z=7.9812
18311,18625,MS1 annotation,7.000,[M+H+K]+2 [M+Fe]+2 dm/z=7.9812
18554,18557,MS1 annotation,4.000,[2M+Mg]+2 [M+Na]+ dm/z=0.9953
18554,18798,MS1 annotation,4.000,[2M+Mg]+2 [M+Na]+ dm/z=0.9953
18557,19033,MS1 annotation,4.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9953
18575,18933,MS1 annotation,3.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9952
18730,18933,MS1 annotation,3.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9952
18800,19017,MS1 annotation,3.000,[2M+Fe]+2 [M+Na]+ dm/z=4.9790
19424,19491,MS1 annotation,3.000,[M+NH4]+ [2M+H]+ dm/z=149.9253
19572,19583,MS1 annotation,3.000,[2M+Fe]+2 [M+H]+ dm/z=26.9610
