"Sample ID"	Current_Natural_Log_Ratio
14748.CAGE46.MSPFB6.L2.1	6.780541550164803
14748.CAGE41.FSPF3XTG.L3.2	-3.9860575346908664
14748.CAGE47.MSPFB6.L10.1	3.7409163743822376
14748.CAGE40.FSPF3XTG.L4.1	-2.5854317230228734
14748.CAGE40.FSPF3XTG.L4.2	-2.332212098945563
14748.CAGE20.FSPF3XTG.L4.1	-4.088398835851012
14748.CAGE12.FSPF3XTG.L12.2	-2.7445543155524295
14748.CAGE45.MSPFB6.L2.2	6.776896270544154
14748.CAGE54.FSPFB6.L3.1	6.158361633576305
14748.CAGE22.FSPF3XTG.L10.2	-2.5040613508359613
14748.CAGE47.MSPFB6.L9.2	9.047664567429063
14748.CAGE45.MSPFB6.L8.2	0.06756696315561328
14748.CAGE70.MSPF3XTG.L5.2	-2.288012303638789
14748.CAGE69.MSPF3XTG.L4.2	-2.812052454018474
14748.CAGE46.MSPFB6.L8.1	5.9104499525766965
14748.CAGE40.FSPF3XTG.L8.1	6.57189396681968
14748.CAGE70.MSPF3XTG.L4.1	-1.9639945993172159
14748.CAGE73.MSPF3XTG.L5.1	1.6238042155347188
14748.CAGE53.FSPFB6.L3.2	7.005285215524775
14748.CAGE53.FSPFB6.L3.1	3.530445342794687
14748.CAGE6.FSPF3XTG.L15.2	-1.2439561919274489
14748.CAGE46.MSPFB6.L10.2	6.596063119587043
14748.CAGE6.FSPF3XTG.L15.1	1.012989435039632
14748.CAGE40.FSPF3XTG.L8.2	6.397280470866122
14748.CAGE22.FSPF3XTG.L9.2	-0.6809514776055146
14748.CAGE45.MSPFB6.L11.1	0.7011966900155233
14748.CAGE46.MSPFB6.L8.2	5.930585986801898
14748.CAGE70.MSPF3XTG.L4.2	-4.055874228839149
14748.CAGE21.FSPF3XTG.L10.1	-1.13126760261253
14748.CAGE2.FSPF3XTG.L14.1	-0.105549731034424
14748.CAGE12.FSPF3XTG.L12.1	-2.740859100067624
14748.CAGE42.MSPF3XTG.L3.1	-4.740289440534708
14748.CAGE42.MSPF3XTG.L10.2	-1.6703198219253022
14748.CAGE22.FSPF3XTG.L10.1	-2.0093954780968897
14748.CAGE45.MSPFB6.L10.2	1.5105349837921729
14748.CAGE69.MSPF3XTG.L4.1	-1.9770285711026574
14748.CAGE70.MSPF3XTG.L5.1	-2.339862663559826
14748.CAGE46.MSPFB6.L11.2	6.287122539674936
14748.CAGE27.FSPFB6.L9.2	6.649195396574452
14748.CAGE46.MSPFB6.L11.1	5.894964884639359
14748.CAGE47.MSPFB6.L7.2	5.778585868688422
14748.CAGE74.MSPFB6.L5.2	5.684712911935851
14748.CAGE16.FSPFB6.L9.1	-0.5376815210845205
14748.CAGE16.FSPFB6.L7.1	-0.1404574469681794
14748.CAGE41.FSPF3XTG.L1.1	-2.2283730459141378
14748.CAGE1.FSPF3XTG.L10.2	-4.138275696847772
14748.CAGE1.FSPF3XTG.L12.2	-3.2710535874725553
14748.CAGE41.FSPF3XTG.L1.2	-3.0261551487889715
14748.CAGE1.FSPF3XTG.L7.1	-1.586915723321054
14748.CAGE27.FSPFB6.L9.1	6.773677153075276
14748.CAGE47.MSPFB6.L7.1	5.685481979464043
14748.CAGE45.MSPFB6.L11.2	0.5542361844691914
14748.CAGE73.MSPF3XTG.L5.2	-0.04340809957921721
14748.CAGE41.FSPF3XTG.L8.1	-2.504459333934701
14748.CAGE73.MSPF3XTG.L4.1	-1.2328129428403596
14748.CAGE73.MSPF3XTG.L4.2	-1.2248363188510165
14748.CAGE74.MSPFB6.L5.1	5.852407713228247
14748.CAGE41.FSPF3XTG.L8.2	-0.5610293920291287
14748.CAGE1.FSPF3XTG.L11.2	-4.426048524982938
14748.CAGE16.FSPFB6.L8.2	-0.31762173047889597
14748.CAGE20.FSPF3XTG.L2.2	-3.2816232693008676
14748.CAGE42.MSPF3XTG.L1.2	-3.6683965955128928
14748.CAGE16.FSPFB6.L9.2	1.4367728760727427
14748.CAGE16.FSPFB6.L7.2	2.6055575963628606
14748.CAGE12.FSPF3XTG.L7.2	-0.6725945279504497
14748.CAGE2.FSPF3XTG.L9.1	-3.2476346039174686
14748.CAGE2.FSPF3XTG.L7.1	-2.7522433378240727
14748.CAGE53.FSPFB6.L1.2	8.116926313772769
14748.CAGE1.FSPF3XTG.L11.1	-3.461736318476378
14748.CAGE16.FSPFB6.L8.1	0.2532284322481111
14748.CAGE2.FSPF3XTG.L11.1	-2.8823431490448304
14748.CAGE20.FSPF3XTG.L2.1	-2.711525443522513
14748.CAGE2.FSPF3XTG.L9.2	-2.9597961331805216
14748.CAGE42.MSPF3XTG.L1.1	-2.0159027784161765
14748.CAGE2.FSPF3XTG.L10.2	-1.657631249447924
14748.CAGE3.FSPF3XTG.L9.2	-4.580154303176326
14748.CAGE7.FSPFB6.L7.1	6.55223612944069
14748.CAGE3.FSPF3XTG.L11.2	-3.4558478775497887
14748.CAGE21.FSPF3XTG.L2.1	-1.7378266491455268
14748.CAGE3.FSPF3XTG.L11.1	-2.1214358692769144
14748.CAGE20.FSPF3XTG.L1.1	-1.3054333053757166
14748.CAGE2.FSPF3XTG.L10.1	-3.1767286844904685
14748.CAGE45.MSPFB6.L1.2	6.244253840805503
14748.CAGE3.FSPF3XTG.L8.1	-2.083687345292523
14748.CAGE46.MSPFB6.L1.1	6.611104536547595
14748.CAGE3.FSPF3XTG.L10.2	-0.8260050968990491
14748.CAGE6.FSPF3XTG.L10.2	6.3777893085637185
14748.CAGE22.FSPF3XTG.L2.1	-1.9079186121281069
14748.CAGE21.FSPF3XTG.L1.2	-2.479034771207279
14748.CAGE6.FSPF3XTG.L9.1	6.299886682475899
14748.CAGE7.FSPFB6.L9.1	5.775715464201509
14748.CAGE2.FSPF3XTG.L12.2	-1.9588055485436495
14748.CAGE22.FSPF3XTG.L2.2	-2.917226571091825
14748.CAGE6.FSPF3XTG.L11.1	-0.23189596981397997
14748.CAGE6.FSPF3XTG.L12.2	-0.061183812123463355
14748.CAGE70.MSPF3XTG.L3.1	-1.6822581119145088
14748.CAGE40.FSPF3XTG.L1.1	-3.8420862924364876
14748.CAGE3.FSPF3XTG.L12.2	-3.023607751892502
14748.CAGE50.FSPF3XTG.L1.1	-3.248380901425402
14748.CAGE6.FSPF3XTG.L13.1	-1.2304796972925285
14748.CAGE22.FSPF3XTG.L1.1	-3.294690734073706
14748.CAGE3.FSPF3XTG.L12.1	-2.588891838588962
14748.CAGE7.FSPFB6.L10.1	6.057777061969617
14748.CAGE12.FSPF3XTG.L4.1	-5.342884272266311
14748.CAGE21.FSPF3XTG.L1.1	-4.143743240932743
14748.CAGE2.FSPF3XTG.L12.1	-0.9065612540895485
14748.CAGE7.FSPFB6.L12.1	-0.3068732894283812
14748.CAGE3.FSPF3XTG.L10.1	-4.836422615277421
14748.CAGE6.FSPF3XTG.L12.1	0.6886882467445012
14748.CAGE1.FSPF3XTG.L13.1	-0.6382848848307603
14748.CAGE1.FSPF3XTG.L13.2	-1.952407658735475
14748.CAGE2.FSPF3XTG.L11.2	-0.4530955512514421
14748.CAGE3.FSPF3XTG.L7.1	-4.783006814665758
14748.CAGE3.FSPF3XTG.L9.1	-1.6878620116219896
14748.CAGE6.FSPF3XTG.L7.1	8.087875265050531
14748.CAGE16.FSPFB6.L4.1	6.243868125639105
14748.CAGE12.FSPF3XTG.L6.1	-2.6089312633018924
14748.CAGE12.FSPF3XTG.L6.2	-3.215181966302442
14748.CAGE16.FSPFB6.L5.1	1.9126041912022629
14748.CAGE7.FSPFB6.L11.2	-0.24404494990531234
14748.CAGE6.FSPF3XTG.L11.2	0.6683598793260526
14748.CAGE12.FSPF3XTG.L5.1	-2.496195434837704
14748.CAGE7.FSPFB6.L10.2	6.2741026702078315
14748.CAGE22.FSPF3XTG.L1.2	-2.8055141616228054
14748.CAGE7.FSPFB6.L12.2	-0.9415317034797486
14748.CAGE40.FSPF3XTG.L6.1	-0.46617063934654546
14748.CAGE66.FSPFB6.L3.1	4.654692682669198
14748.CAGE45.MSPFB6.L5.2	6.059123195581796
14748.CAGE62.FSPF3XTG.L2.1	-0.6060867021267224
14748.CAGE42.MSPF3XTG.L6.1	-1.3007891686301924
14748.CAGE68.MSPF3XTG.L3.1	-2.608788812634936
14748.MOUSE103.CAGE68.MSPF3XTG.S7	-3.018078100304372
14748.CAGE47.MSPFB6.L11.2	3.497125349364249
