sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	study_type	taxon_id	title	tube_id	keep	genotype_sex	cohort	genotype_tp
14748.BLANK.AGMP.4.4A		2020-22-12	BLANK.AGMP.4.4A	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.4.4A		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4A	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.4.4B		2020-22-12	BLANK.AGMP.4.4B	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.4.4B		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4B	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.4.4C		2020-22-12	BLANK.AGMP.4.4C	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.4.4C		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4C	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.4.4D	BLANK.AGMP.4.4D	2020-22-12	BLANK.AGMP.4.4D	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.AGMP.4.4D	not applicable	32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome	not applicable	not applicable	256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4D	FALSE	not applicable_not applicable	not applicable	
14748.BLANK.AGMP.4.4E		2020-22-12	BLANK.AGMP.4.4E	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.4.4E		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4E	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.4.4F		2020-22-12	BLANK.AGMP.4.4F	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.4.4F		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.4.4F	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.5.5A		2020-22-12	BLANK.AGMP.5.5A	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.5.5A		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5A	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.5.5B		2020-22-12	BLANK.AGMP.5.5B	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.5.5B		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5B	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.5.5C		2020-22-12	BLANK.AGMP.5.5C	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.5.5C		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5C	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.5.5D	BLANK.AGMP.5.5D	2020-22-12	BLANK.AGMP.5.5D	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.AGMP.5.5D	not applicable	32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome	not applicable	not applicable	256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5D	FALSE	not applicable_not applicable	not applicable	
