"Sample ID"	Current_Natural_Log_Ratio
14748.CAGE41.FSPF3XTG.L10.1	-5.054770022051966
14748.CAGE21.FSPF3XTG.L9.2	-4.385531720631827
14748.CAGE41.FSPF3XTG.L2.2	-4.700536829472169
14748.CAGE40.FSPF3XTG.L10.1	-4.08375685082328
14748.CAGE41.FSPF3XTG.L7.1	-5.4836877061913505
14748.CAGE68.MSPF3XTG.L5.1	-4.212161687929793
14748.CAGE45.MSPFB6.L9.1	-4.465924873984874
14748.CAGE62.FSPF3XTG.L4.2	-2.084172550686075
14748.CAGE42.MSPF3XTG.L8.2	-6.127473636934899
14748.CAGE40.FSPF3XTG.L7.2	-5.184739761374164
14748.CAGE66.FSPFB6.L5.2	6.148468295917647
14748.CAGE66.FSPFB6.L6.1	6.624274893384056
14748.CAGE74.MSPFB6.L4.2	5.857831108460614
14748.CAGE41.FSPF3XTG.L9.1	-4.216920140788492
14748.CAGE20.FSPF3XTG.L10.2	-6.333700218374177
14748.CAGE66.FSPFB6.L4.2	6.512413754044824
14748.CAGE41.FSPF3XTG.L7.2	-5.068505103038788
14748.CAGE45.MSPFB6.L9.2	-4.591181939099307
14748.CAGE40.FSPF3XTG.L10.2	-4.076625383236998
14748.CAGE40.FSPF3XTG.L9.2	-6.024179575250465
14748.CAGE69.MSPF3XTG.L5.1	-5.119563209501995
14748.CAGE46.MSPFB6.L9.1	2.530329305073793
14748.CAGE3.FSPF3XTG.L13.1	-1.6050317964973217
14748.CAGE27.FSPFB6.L4.1	6.405121203525262
14748.CAGE41.FSPF3XTG.L10.2	-5.528691352324884
14748.CAGE21.FSPF3XTG.L4.2	-4.3500491295856225
14748.CAGE27.FSPFB6.L3.1	6.554136883525953
14748.CAGE3.FSPF3XTG.L13.2	-5.311402118291695
14748.CAGE45.MSPFB6.L3.2	7.949788817705489
14748.CAGE7.FSPFB6.L13.1	-1.4773220085196286
14748.CAGE22.FSPF3XTG.L4.2	-5.6158861853626245
14748.CAGE50.FSPF3XTG.L2.1	-5.273028695668395
14748.CAGE1.FSPF3XTG.L15.2	-2.9973975528730525
14748.CAGE50.FSPF3XTG.L2.2	-4.390392625985932
14748.CAGE42.MSPF3XTG.L8.1	-5.777531431850124
14748.CAGE40.FSPF3XTG.L9.1	-4.728429240275439
14748.CAGE40.FSPF3XTG.L7.1	-3.7443866880393104
14748.CAGE6.FSPF3XTG.L14.2	0.41477621364115613
14748.CAGE41.FSPF3XTG.L9.2	-6.312763513522013
14748.CAGE27.FSPFB6.L1.2	6.197165596459225
14748.CAGE66.FSPFB6.L5.1	5.683021575864518
14748.CAGE12.FSPF3XTG.L8.2	-1.9812425779696206
14748.CAGE40.FSPF3XTG.L1.2	-3.766923631738237
14748.CAGE74.MSPFB6.L4.1	6.588257083681823
14748.CAGE66.FSPFB6.L6.2	3.443859542502474
14748.CAGE12.FSPF3XTG.L9.2	-3.6112623904766554
14748.CAGE6.FSPF3XTG.L13.2	-0.6655014540538247
14748.CAGE12.FSPF3XTG.L9.1	-3.948701464022614
14748.CAGE40.FSPF3XTG.L2.1	-3.519376364886482
14748.CAGE40.FSPF3XTG.L2.2	-4.0376478793955926
14748.CAGE62.FSPF3XTG.L4.1	-2.813840832336851
14748.CAGE16.FSPFB6.L12.1	3.3487500190564976
14748.CAGE45.MSPFB6.L3.1	6.7566811374740094
14748.CAGE47.MSPFB6.L2.1	6.067959103990873
14748.CAGE21.FSPF3XTG.L4.1	-3.9574971170837294
14748.CAGE50.FSPF3XTG.L1.2	-3.221095581606513
14748.CAGE22.FSPF3XTG.L5.1	-5.080871836348465
14748.CAGE12.FSPF3XTG.L10.1	-2.9441485558724514
14748.CAGE3.FSPF3XTG.L15.1	-1.220555748302468
14748.CAGE3.FSPF3XTG.L15.2	-1.0534606973425866
14748.CAGE40.FSPF3XTG.L3.1	-4.03038995335187
14748.CAGE20.FSPF3XTG.L6.1	-3.5264774631650875
14748.CAGE46.MSPFB6.L3.1	7.948206016947338
14748.CAGE1.FSPF3XTG.L15.1	-4.267073442163483
14748.CAGE22.FSPF3XTG.L4.1	-4.509261854353651
14748.CAGE6.FSPF3XTG.L14.1	1.3160901024466423
14748.CAGE7.FSPFB6.L13.2	-1.935703092645861
14748.CAGE27.FSPFB6.L4.2	8.99900789209578
14748.CAGE47.MSPFB6.L3.2	8.317396399703233
14748.CAGE21.FSPF3XTG.L5.2	-4.1174182792625915
14748.CAGE16.FSPFB6.L10.2	0.5252377274783804
14748.CAGE20.FSPF3XTG.L3.1	-3.8109080069295445
14748.CAGE42.MSPF3XTG.L2.1	-5.0080265302442895
14748.CAGE54.FSPFB6.L2.1	7.147270742813308
14748.CAGE27.FSPFB6.L6.2	6.046457481094149
14748.CAGE27.FSPFB6.L6.1	7.730138180633325
14748.CAGE7.FSPFB6.L15.2	-0.8142758505384897
14748.CAGE45.MSPFB6.L2.1	6.550575620540503
14748.CAGE12.FSPF3XTG.L10.2	-3.610027267781348
14748.CAGE21.FSPF3XTG.L3.1	-5.208317846518845
14748.CAGE40.FSPF3XTG.L3.2	-4.545358691756151
14748.CAGE50.FSPF3XTG.L3.2	-3.764130745643188
14748.CAGE50.FSPF3XTG.L3.1	-4.618692799754215
14748.CAGE46.MSPFB6.L3.2	8.098321305047772
14748.CAGE16.FSPFB6.L10.1	-0.1318734660486509
14748.CAGE41.FSPF3XTG.L2.1	-5.254455555313536
14748.CAGE21.FSPF3XTG.L5.1	-4.128825616283504
14748.CAGE7.FSPFB6.L15.1	-1.1834755764277762
14748.CAGE42.MSPF3XTG.L9.2	-5.32408487655082
14748.CAGE20.FSPF3XTG.L9.2	-5.297128541363441
14748.CAGE42.MSPF3XTG.L10.1	-2.4849946895820434
14748.CAGE45.MSPFB6.L10.1	0.7681198306750208
14748.CAGE1.FSPF3XTG.L14.1	-2.7101955086887566
14748.CAGE20.FSPF3XTG.L3.2	-4.798731026728978
14748.CAGE16.FSPFB6.L11.1	0.9927107777882309
14748.CAGE41.FSPF3XTG.L3.1	-4.30867878287093
14748.CAGE42.MSPF3XTG.L2.2	-5.012365964472022
14748.CAGE1.FSPF3XTG.L14.2	-3.6076806769474805
14748.CAGE22.FSPF3XTG.L3.1	-3.771454643801544
14748.CAGE16.FSPFB6.L11.2	-1.0068203804225817
14748.CAGE46.MSPFB6.L2.1	8.445690259920344
14748.CAGE41.FSPF3XTG.L3.2	-3.7832650419519975
14748.CAGE47.MSPFB6.L10.1	4.1137419867087335
14748.CAGE40.FSPF3XTG.L4.1	-3.9302829462932944
14748.CAGE40.FSPF3XTG.L4.2	-3.3971973063564604
14748.CAGE20.FSPF3XTG.L4.1	-4.0346994945739345
14748.CAGE12.FSPF3XTG.L12.2	-3.8584339108496772
14748.CAGE45.MSPFB6.L2.2	7.479036747645055
14748.CAGE54.FSPFB6.L3.1	7.740679394308602
14748.CAGE22.FSPF3XTG.L10.2	-7.996395531135157
14748.CAGE47.MSPFB6.L9.2	8.210668031162976
14748.CAGE45.MSPFB6.L8.2	1.0374796918666753
14748.CAGE70.MSPF3XTG.L5.2	-4.302762033288025
14748.CAGE69.MSPF3XTG.L4.2	-4.478121138850049
14748.CAGE46.MSPFB6.L8.1	6.47358751988747
14748.CAGE40.FSPF3XTG.L8.1	6.875140930958621
14748.CAGE70.MSPF3XTG.L4.1	-3.5508696206969006
14748.CAGE73.MSPF3XTG.L5.1	4.0094336369839
14748.CAGE53.FSPFB6.L3.2	7.062783495739134
14748.CAGE53.FSPFB6.L3.1	4.0054973703735826
14748.CAGE6.FSPF3XTG.L15.2	-2.3524986481001786
14748.CAGE46.MSPFB6.L10.2	6.574889863288316
14748.CAGE6.FSPF3XTG.L15.1	0.5510695403145078
14748.CAGE40.FSPF3XTG.L8.2	6.541140993140847
14748.CAGE22.FSPF3XTG.L9.2	-3.318661357782701
14748.CAGE45.MSPFB6.L11.1	2.518949479604589
14748.CAGE46.MSPFB6.L8.2	6.58670107133928
14748.CAGE70.MSPF3XTG.L4.2	-4.857678869415811
14748.CAGE21.FSPF3XTG.L10.1	-4.581524767953611
14748.CAGE2.FSPF3XTG.L14.1	-4.563601733376654
14748.CAGE12.FSPF3XTG.L12.1	-3.3532796646041474
14748.CAGE42.MSPF3XTG.L3.1	-4.425653631652464
14748.CAGE42.MSPF3XTG.L10.2	-2.423110388322362
14748.CAGE22.FSPF3XTG.L10.1	-7.413301933233903
14748.CAGE45.MSPFB6.L10.2	0.9545803274166955
14748.CAGE69.MSPF3XTG.L4.1	-4.6948156312250235
14748.CAGE70.MSPF3XTG.L5.1	-3.73276313803251
14748.CAGE46.MSPFB6.L11.2	6.150414615791203
14748.CAGE27.FSPFB6.L9.2	6.866320351558843
