"Sample ID"	Current_Natural_Log_Ratio	strain_sex	strain_sex
14957.CAGE113.FSPFHET.L2.1	-0.9469343001714652	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE87.CAGE144.MSPFWT.S5	-4.055810109794184	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE112.FSPFWT.L2.2	0.44388319788205344	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE162.FSPFWT.L7.1	-1.9391916319080842	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE18.CAGE77.MSPFHET.S8	2.4365048065727013	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE88.CAGE144.MSPFWT.S5	1.2730912548091222	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE89.CAGE144.MSPFWT.S5	0.4802576827113416	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE113.FSPFHET.L3.1	-0.10814544831138484	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE189.MSPFHET.L3.2	-0.5126223577289739	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE114.FSPFWT.L3.1	-0.3509824405447297	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE78.MSPFHET.L5.1	-1.3208868576468777	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L5.1	-3.0858312753552344	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE15.CAGE77.MSPFHET.S8	1.9842619862006856	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE97.FSPFHET.L1.1	-2.5943420203634613	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE26.CAGE79.MSPFWT.S8	2.212661413023083	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE97.FSPFHET.L3.1	-2.246275993588105	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE75.CAGE114.FSPFWT.S5	3.759981251033043	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE27.CAGE80.MSFPWT.S8	1.673362935011454	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE97.FSPFHET.L1.2	-0.12882691270714552	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L3.1	-4.308873641947619	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE45.CAGE98.FSPFWT.S5	-2.297765055498955	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE136.MSPFWT.L5.2	-2.0654976618333603	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L4.2	3.2645445007125087	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE154.FSPFHET.L5.1	-0.9604377336971055	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE150.FSPFHET.L7.2	-0.1471837815799084	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L2.2	-0.893082135233513	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE34.CAGE96.FSPFHET.S5	-2.610118753548889	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE114.FSPFWT.L2.2	-0.14775291829771398	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE175.MSPFHET.L4.2	-2.435700193954684	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE70.CAGE113.FSPFHET.S5	-1.2972812517918353	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE94.CAGE148.FSPFHET.S8	-6.121427392655832	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE22.CAGE79.MSPFHET.S8	0.5092201596763726	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE112.FSPFWT.L3.1	1.5527048265971803	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE96.FSPFHET.L3.1	-2.326601656723465	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE23.CAGE79.MSPFWT.S8	-0.16959260006086296	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE185.MSPFWT.L3.1	0.02973825526168916	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE71.CAGE113.FSPFHET.S5	-1.7772578607825231	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE96.FSPFHET.L3.2	-1.2613962193736654	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE35.CAGE97.FSPFHET.S5	-0.5756889330731987	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE96.FSPFHET.L1.2	-2.556369805611565	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE72.CAGE113.FSPFHET.S5	-2.622699583626366	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE95.CAGE148.FSPFHET.S8	-6.745573331348277	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE96.CAGE148.FSPFHET.S8	-4.912293343367452	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE24.CAGE79.MSPFWT.S8	0.2679076427154321	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE36.CAGE97.FSPFHET.S5	-2.1180950250821997	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE185.MSPFWT.L3.2	2.161562592146627	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE112.FSPFWT.L3.2	1.270200970105579	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE73.CAGE114.FSPFWT.S5	0.6599759774203307	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE91.CAGE144.MSPFWT.S5	1.8023561882306431	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE107.CAGE154.FSPFHET.S8	-0.4072239232893402	"Het 5XFAD_female"	"Het 5XFAD_female"
